Wm82.a4.v1 Gene,Corresponding Gene,Assembly
Glyma.05g232600,Glyma05g35260,Glyma 1.1
Glyma.05g232600,Glyma.05g232600,Glyma2.0
Glyma.05g232700,Glyma05g35250,Glyma 1.1
Glyma.05g232700,Glyma.05g232700,Glyma2.0
Glyma.05g232800,Glyma05g35240,Glyma 1.1
Glyma.05g232800,Glyma.05g232800,Glyma2.0
Glyma.05g233000,Glyma05g35220,Glyma 1.1
Glyma.05g233000,Glyma.05g233000,Glyma2.0
Glyma.05g233200,Glyma05g35200,Glyma 1.1
Glyma.05g233200,Glyma.05g233200,Glyma2.0
Glyma.05g233300,Glyma05g35190,Glyma 1.1
Glyma.05g233300,Glyma.05g233300,Glyma2.0
Glyma.05g233400,Glyma05g35180,Glyma 1.1
Glyma.05g233400,Glyma.05g233400,Glyma2.0
Glyma.05g233700,Glyma05g35151,Glyma 1.1
Glyma.05g233700,Glyma.05g233700,Glyma2.0
Glyma.05g233900,Glyma05g35130,Glyma 1.1
Glyma.05g233900,Glyma.05g233900,Glyma2.0
Glyma.05g234000,Glyma05g35120,Glyma 1.1
Glyma.05g234000,Glyma.05g234000,Glyma2.0
Glyma.05g234100,Glyma05g35105,Glyma 1.1
Glyma.05g234100,Glyma.05g234100,Glyma2.0
Glyma.05g234200,Glyma05g35090,Glyma 1.1
Glyma.05g234200,Glyma.05g234200,Glyma2.0
Glyma.05g234300,Glyma05g35080,Glyma 1.1
Glyma.05g234300,Glyma.05g234300,Glyma2.0
Glyma.05g234400,Glyma05g35070,Glyma 1.1
Glyma.05g234400,Glyma.05g234400,Glyma2.0
Glyma.05g234500,Glyma05g35060,Glyma 1.1
Glyma.05g234500,Glyma.05g234500,Glyma2.0
Glyma.05g234600,Glyma05g35050,Glyma 1.1
Glyma.05g234600,Glyma.05g234600,Glyma2.0
Glyma.05g234700,Glyma05g35040,Glyma 1.1
Glyma.05g234700,Glyma.05g234700,Glyma2.0
Glyma.05g234800,Glyma05g35030,Glyma 1.1
Glyma.05g234800,Glyma.05g234800,Glyma2.0
Glyma.05g234900,Glyma05g35021,Glyma 1.1
Glyma.05g234900,Glyma.05g234900,Glyma2.0
Glyma.05g235000,Glyma05g35000,Glyma 1.1
Glyma.05g235000,Glyma.05g235000,Glyma2.0
Glyma.05g235100,Glyma05g35011,Glyma 1.1
Glyma.05g235100,Glyma.05g235100,Glyma2.0
Glyma.05g235200,Glyma05g34990,Glyma 1.1
Glyma.05g235200,Glyma.05g235200,Glyma2.0
Glyma.05g235300,Glyma05g34980,Glyma 1.1
Glyma.05g235300,Glyma.05g235300,Glyma2.0
Glyma.05g235400,Glyma05g34970,Glyma 1.1
Glyma.05g235400,Glyma.05g235400,Glyma2.0
Glyma.05g235500,Glyma05g34960,Glyma 1.1
Glyma.05g235500,Glyma.05g235500,Glyma2.0
Glyma.05g235600,Glyma05g34945,Glyma 1.1
Glyma.05g235600,Glyma.05g235600,Glyma2.0
Glyma.05g235700,Glyma05g34930,Glyma 1.1
Glyma.05g235700,Glyma.05g235700,Glyma2.0
Glyma.05g235800,Glyma05g34920,Glyma 1.1
Glyma.05g235800,Glyma.05g235800,Glyma2.0
Glyma.05g235900,Glyma05g34910,Glyma 1.1
Glyma.05g235900,Glyma.05g235900,Glyma2.0
Glyma.05g236000,Glyma05g34900,Glyma 1.1
Glyma.05g236000,Glyma.05g236000,Glyma2.0
Glyma.05g236300,Glyma05g34870,Glyma 1.1
Glyma.05g236300,Glyma.05g236300,Glyma2.0
Glyma.05g236400,Glyma05g34850,Glyma 1.1
Glyma.05g236400,Glyma.05g236400,Glyma2.0
Glyma.05g236500,Glyma05g34840,Glyma 1.1
Glyma.05g236500,Glyma.05g236500,Glyma2.0
Glyma.05g236600,Glyma05g34830,Glyma 1.1
Glyma.05g236600,Glyma.05g236600,Glyma2.0
Glyma.05g236700,Glyma05g34820,Glyma 1.1
Glyma.05g236700,Glyma.05g236700,Glyma2.0
Glyma.05g236800,Glyma05g34810,Glyma 1.1
Glyma.05g236800,Glyma.05g236800,Glyma2.0
Glyma.05g236900,Glyma05g34800,Glyma 1.1
Glyma.05g236900,Glyma.05g236900,Glyma2.0
Glyma.05g237000,Glyma05g34790,Glyma 1.1
Glyma.05g237000,Glyma.05g237000,Glyma2.0
Glyma.05g237100,Glyma05g34780,Glyma 1.1
Glyma.05g237100,Glyma.05g237100,Glyma2.0
Glyma.05g237200,Glyma05g34760,Glyma 1.1
Glyma.05g237200,Glyma.05g237200,Glyma2.0
Glyma.05g237300,Glyma05g34750,Glyma 1.1
Glyma.05g237300,Glyma.05g237300,Glyma2.0
Glyma.05g237400,Glyma05g34740,Glyma 1.1
Glyma.05g237400,Glyma.05g237400,Glyma2.0
Glyma.05g237500,Glyma05g34730,Glyma 1.1
Glyma.05g237500,Glyma.05g237500,Glyma2.0
Glyma.05g237600,Glyma05g34720,Glyma 1.1
Glyma.05g237600,Glyma.05g237600,Glyma2.0
Glyma.05g237700,Glyma05g34710,Glyma 1.1
Glyma.05g237700,Glyma.05g237700,Glyma2.0
Glyma.05g237800,Glyma05g34700,Glyma 1.1
Glyma.05g237800,Glyma.05g237800,Glyma2.0
Glyma.05g237900,Glyma05g34690,Glyma 1.1
Glyma.05g237900,Glyma.05g237900,Glyma2.0
Glyma.05g238000,Glyma05g34680,Glyma 1.1
Glyma.05g238000,Glyma.05g238000,Glyma2.0
Glyma.05g238100,Glyma05g34670,Glyma 1.1
Glyma.05g238100,Glyma.05g238100,Glyma2.0
Glyma.05g238200,Glyma05g34660,Glyma 1.1
Glyma.05g238200,Glyma.05g238200,Glyma2.0
Glyma.05g238400,Glyma05g34640,Glyma 1.1
Glyma.05g238400,Glyma.05g238400,Glyma2.0
Glyma.05g238500,Glyma05g34630,Glyma 1.1
Glyma.05g238500,Glyma.05g238500,Glyma2.0
Glyma.05g238600,Glyma05g34620,Glyma 1.1
Glyma.05g238600,Glyma.05g238600,Glyma2.0
Glyma.05g238700,Glyma05g34610,Glyma 1.1
Glyma.05g238700,Glyma.05g238700,Glyma2.0
Glyma.05g238800,Glyma05g34600,Glyma 1.1
Glyma.05g238800,Glyma.05g238800,Glyma2.0
Glyma.05g238900,Glyma05g34580,Glyma 1.1
Glyma.05g238900,Glyma.05g238900,Glyma2.0
Glyma.05g239000,Glyma05g34570,Glyma 1.1
Glyma.05g239000,Glyma.05g239000,Glyma2.0
Glyma.05g239100,Glyma05g34560,Glyma 1.1
Glyma.05g239100,Glyma.05g239100,Glyma2.0
Glyma.05g239300,Glyma05g34540,Glyma 1.1
Glyma.05g239300,Glyma.05g239300,Glyma2.0
Glyma.05g239400,Glyma05g34530,Glyma 1.1
Glyma.05g239400,Glyma.05g239400,Glyma2.0
Glyma.05g239900,Glyma05g34510,Glyma 1.1
Glyma.05g239900,Glyma.05g239900,Glyma2.0
Glyma.05g240000,Glyma05g34500,Glyma 1.1
Glyma.05g240000,Glyma.05g240000,Glyma2.0
Glyma.05g240100,Glyma05g34490,Glyma 1.1
Glyma.05g240100,Glyma.05g240100,Glyma2.0
Glyma.05g240200,Glyma05g34480,Glyma 1.1
Glyma.05g240200,Glyma.05g240200,Glyma2.0
Glyma.05g240300,Glyma05g34470,Glyma 1.1
Glyma.05g240300,Glyma.05g240300,Glyma2.0
Glyma.05g240400,Glyma05g34460,Glyma 1.1
Glyma.05g240400,Glyma.05g240400,Glyma2.0
Glyma.05g240500,Glyma05g34450,Glyma 1.1
Glyma.05g240500,Glyma.05g240500,Glyma2.0
Glyma.05g240600,Glyma05g34430,Glyma 1.1
Glyma.05g240600,Glyma.05g240600,Glyma2.0
Glyma.05g240700,Glyma05g34420,Glyma 1.1
Glyma.05g240700,Glyma.05g240700,Glyma2.0
Glyma.05g240800,Glyma05g34410,Glyma 1.1
Glyma.05g240800,Glyma.05g240800,Glyma2.0
Glyma.05g240900,Glyma05g34400,Glyma 1.1
Glyma.05g240900,Glyma.05g240900,Glyma2.0
Glyma.05g241000,Glyma05g34370,Glyma 1.1
Glyma.05g241000,Glyma.05g241000,Glyma2.0
Glyma.05g241100,Glyma05g34360,Glyma 1.1
Glyma.05g241100,Glyma.05g241100,Glyma2.0
Glyma.05g241200,Glyma05g34350,Glyma 1.1
Glyma.05g241200,Glyma.05g241200,Glyma2.0
Glyma.05g241300,Glyma05g34340,Glyma 1.1
Glyma.05g241300,Glyma.05g241300,Glyma2.0
Glyma.05g241400,Glyma05g34330,Glyma 1.1
Glyma.05g241400,Glyma.05g241400,Glyma2.0
Glyma.05g241500,Glyma05g34320,Glyma 1.1
Glyma.05g241500,Glyma.05g241500,Glyma2.0
Glyma.05g241600,Glyma05g34310,Glyma 1.1
Glyma.05g241600,Glyma.05g241600,Glyma2.0
Glyma.05g241700,Glyma05g34290,Glyma 1.1
Glyma.05g241700,Glyma.05g241700,Glyma2.0
Glyma.05g241800,Glyma05g34280,Glyma 1.1
Glyma.05g241800,Glyma.05g241800,Glyma2.0
Glyma.05g241900,Glyma05g34270,Glyma 1.1
Glyma.05g241900,Glyma.05g241900,Glyma2.0
Glyma.05g242000,Glyma05g34250,Glyma 1.1
Glyma.05g242000,Glyma.05g242000,Glyma2.0
Glyma.05g242100,Glyma05g34243,Glyma 1.1
Glyma.05g242100,Glyma.05g242100,Glyma2.0
Glyma.05g242200,Glyma05g34236,Glyma 1.1
Glyma.05g242200,Glyma.05g242200,Glyma2.0
Glyma.05g242300,Glyma05g34230,Glyma 1.1
Glyma.05g242300,Glyma.05g242300,Glyma2.0
Glyma.05g242400,Glyma05g34220,Glyma 1.1
Glyma.05g242400,Glyma.05g242400,Glyma2.0
Glyma.05g242600,Glyma05g34200,Glyma 1.1
Glyma.05g242600,Glyma.05g242600,Glyma2.0
Glyma.05g242700,Glyma05g34190,Glyma 1.1
Glyma.05g242700,Glyma.05g242700,Glyma2.0
Glyma.05g242800,Glyma05g34180,Glyma 1.1
Glyma.05g242800,Glyma.05g242800,Glyma2.0
Glyma.05g242900,Glyma05g34170,Glyma 1.1
Glyma.05g242900,Glyma.05g242900,Glyma2.0
Glyma.05g243000,Glyma05g34150,Glyma 1.1
Glyma.05g243000,Glyma.05g243000,Glyma2.0
Glyma.05g243200,Glyma05g34140,Glyma 1.1
Glyma.05g243200,Glyma.05g243200,Glyma2.0
Glyma.05g243300,Glyma05g34130,Glyma 1.1
Glyma.05g243300,Glyma.05g243300,Glyma2.0
Glyma.05g243400,Glyma05g34120,Glyma 1.1
Glyma.05g243400,Glyma.05g243400,Glyma2.0
Glyma.05g243500,Glyma05g34110,Glyma 1.1
Glyma.05g243500,Glyma.05g243500,Glyma2.0
Glyma.05g243600,Glyma05g34090,Glyma 1.1
Glyma.05g243600,Glyma.05g243600,Glyma2.0
Glyma.05g243700,Glyma05g34080,Glyma 1.1
Glyma.05g243700,Glyma.05g243700,Glyma2.0
Glyma.05g243800,Glyma05g34070,Glyma 1.1
Glyma.05g243800,Glyma.05g243800,Glyma2.0
Glyma.05g243900,Glyma05g34060,Glyma 1.1
Glyma.05g243900,Glyma.05g243900,Glyma2.0
Glyma.05g244100,Glyma05g34030,Glyma 1.1
Glyma.05g244100,Glyma.05g244100,Glyma2.0
Glyma.05g244200,Glyma05g34020,Glyma 1.1
Glyma.05g244200,Glyma.05g244200,Glyma2.0
Glyma.05g244300,Glyma05g34010,Glyma 1.1
Glyma.05g244300,Glyma.05g244300,Glyma2.0
Glyma.05g244400,Glyma05g34000,Glyma 1.1
Glyma.05g244400,Glyma.05g244400,Glyma2.0
Glyma.05g244500,Glyma05g33990,Glyma 1.1
Glyma.05g244500,Glyma.05g244500,Glyma2.0
Glyma.05g244600,Glyma05g33980,Glyma 1.1
Glyma.05g244600,Glyma.05g244600,Glyma2.0
Glyma.05g244700,Glyma05g33970,Glyma 1.1
Glyma.05g244700,Glyma.05g244700,Glyma2.0
Glyma.05g244800,Glyma05g33960,Glyma 1.1
Glyma.05g244800,Glyma.05g244800,Glyma2.0
Glyma.05g245000,Glyma05g33940,Glyma 1.1
Glyma.05g245000,Glyma.05g245000,Glyma2.0
Glyma.05g245100,Glyma05g33930,Glyma 1.1
Glyma.05g245100,Glyma.05g245100,Glyma2.0
Glyma.05g245200,Glyma05g33920,Glyma 1.1
Glyma.05g245200,Glyma.05g245200,Glyma2.0
Glyma.05g245300,Glyma05g33910,Glyma 1.1
Glyma.05g245300,Glyma.05g245300,Glyma2.0
Glyma.05g245400,Glyma05g33901,Glyma 1.1
Glyma.05g245400,Glyma.05g245400,Glyma2.0
Glyma.05g245500,Glyma05g33890,Glyma 1.1
Glyma.05g245500,Glyma.05g245500,Glyma2.0
Glyma.05g245600,Glyma05g33880,Glyma 1.1
Glyma.05g245600,Glyma.05g245600,Glyma2.0
Glyma.05g245700,Glyma05g33871,Glyma 1.1
Glyma.05g245700,Glyma.05g245700,Glyma2.0
Glyma.05g245800,Glyma05g33860,Glyma 1.1
Glyma.05g245800,Glyma.05g245800,Glyma2.0
Glyma.05g245900,Glyma05g33850,Glyma 1.1
Glyma.05g245900,Glyma.05g245900,Glyma2.0
Glyma.05g246000,Glyma05g33840,Glyma 1.1
Glyma.05g246000,Glyma.05g246000,Glyma2.0
Glyma.05g246100,Glyma05g33830,Glyma 1.1
Glyma.05g246100,Glyma.05g246100,Glyma2.0
Glyma.05g246200,Glyma05g33820,Glyma 1.1
Glyma.05g246200,Glyma.05g246200,Glyma2.0
Glyma.05g246300,Glyma05g33810,Glyma 1.1
Glyma.05g246300,Glyma.05g246300,Glyma2.0
Glyma.05g246400,Glyma05g33800,Glyma 1.1
Glyma.05g246400,Glyma.05g246400,Glyma2.0
Glyma.05g246500,Glyma05g33790,Glyma 1.1
Glyma.05g246500,Glyma.05g246500,Glyma2.0
Glyma.05g246600,Glyma05g33780,Glyma 1.1
Glyma.05g246600,Glyma.05g246600,Glyma2.0
Glyma.05g246700,Glyma05g33770,Glyma 1.1
Glyma.05g246700,Glyma.05g246700,Glyma2.0
Glyma.05g246800,Glyma05g33760,Glyma 1.1
Glyma.05g246800,Glyma.05g246800,Glyma2.0
Glyma.05g246900,Glyma05g33750,Glyma 1.1
Glyma.05g246900,Glyma.05g246900,Glyma2.0
Glyma.05g247000,Glyma05g33730,Glyma 1.1
Glyma.05g247000,Glyma.05g247000,Glyma2.0
Glyma.05g247100,Glyma05g33720,Glyma 1.1
Glyma.05g247100,Glyma.05g247100,Glyma2.0
Glyma.05g247300,Glyma05g33700,Glyma 1.1
Glyma.05g247300,Glyma.05g247300,Glyma2.0
Glyma.05g247500,Glyma05g33660,Glyma 1.1
Glyma.05g247500,Glyma.05g247500,Glyma2.0
Glyma.05g247700,Glyma05g33650,Glyma 1.1
Glyma.05g247700,Glyma.05g247700,Glyma2.0
Glyma.05g247800,Glyma05g33640,Glyma 1.1
Glyma.05g247800,Glyma.05g247800,Glyma2.0
Glyma.05g247900,Glyma05g33630,Glyma 1.1
Glyma.05g247900,Glyma.05g247900,Glyma2.0
Glyma.05g248000,Glyma05g33620,Glyma 1.1
Glyma.05g248000,Glyma.05g248000,Glyma2.0
Glyma.05g248100,Glyma05g33610,Glyma 1.1
Glyma.05g248100,Glyma.05g248100,Glyma2.0
Glyma.05g248200,Glyma05g33600,Glyma 1.1
Glyma.05g248200,Glyma.05g248200,Glyma2.0
Glyma.05g248300,Glyma05g33590,Glyma 1.1
Glyma.05g248300,Glyma.05g248300,Glyma2.0
Glyma.05g248500,Glyma05g33560,Glyma 1.1
Glyma.05g248500,Glyma.05g248500,Glyma2.0
Glyma.05g248600,Glyma05g33540,Glyma 1.1
Glyma.05g248600,Glyma.05g248600,Glyma2.0
Glyma.05g248700,Glyma05g33530,Glyma 1.1
Glyma.05g248700,Glyma.05g248700,Glyma2.0
Glyma.05g248800,Glyma05g33520,Glyma 1.1
Glyma.05g248800,Glyma.05g248800,Glyma2.0
Glyma.05g248900,Glyma05g33510,Glyma 1.1
Glyma.05g248900,Glyma.05g248900,Glyma2.0
Glyma.05g249000,Glyma05g33500,Glyma 1.1
Glyma.05g249000,Glyma.05g249000,Glyma2.0
Glyma.05g249100,Glyma05g33481,Glyma 1.1
Glyma.05g249100,Glyma.05g249100,Glyma2.0
Glyma.06g000100,Glyma0006s50,Glyma 1.1
Glyma.06g000100,Glyma.06g000100,Glyma2.0
Glyma.06g000200,Glyma06g00220,Glyma 1.1
Glyma.06g000200,Glyma.06g000200,Glyma2.0
Glyma.06g000300,Glyma06g00230,Glyma 1.1
Glyma.06g000300,Glyma.06g000300,Glyma2.0
Glyma.06g000400,Glyma06g00240,Glyma 1.1
Glyma.06g000400,Glyma.06g000400,Glyma2.0
Glyma.06g000500,Glyma06g00260,Glyma 1.1
Glyma.06g000500,Glyma.06g000500,Glyma2.0
Glyma.06g000600,Glyma06g00275,Glyma 1.1
Glyma.06g000600,Glyma.06g000600,Glyma2.0
Glyma.06g000800,Glyma06g00300,Glyma 1.1
Glyma.06g000800,Glyma.06g000800,Glyma2.0
Glyma.06g001100,Glyma06g00330,Glyma 1.1
Glyma.06g001100,Glyma.06g001100,Glyma2.0
Glyma.06g001200,Glyma06g00340,Glyma 1.1
Glyma.06g001200,Glyma.06g001200,Glyma2.0
Glyma.06g001300,Glyma06g00360,Glyma 1.1
Glyma.06g001300,Glyma.06g001300,Glyma2.0
Glyma.06g001400,Glyma06g00370,Glyma 1.1
Glyma.06g001400,Glyma.06g001400,Glyma2.0
Glyma.06g001500,Glyma06g00380,Glyma 1.1
Glyma.06g001500,Glyma.06g001500,Glyma2.0
Glyma.06g001700,Glyma06g00400,Glyma 1.1
Glyma.06g001700,Glyma.06g001700,Glyma2.0
Glyma.06g001800,Glyma06g00420,Glyma 1.1
Glyma.06g001800,Glyma.06g001800,Glyma2.0
Glyma.06g002000,Glyma06g00440,Glyma 1.1
Glyma.06g002000,Glyma.06g002000,Glyma2.0
Glyma.06g002200,Glyma06g00445,Glyma 1.1
Glyma.06g002200,Glyma.06g002200,Glyma2.0
Glyma.06g002300,Glyma06g00450,Glyma 1.1
Glyma.06g002300,Glyma.06g002300,Glyma2.0
Glyma.06g002400,Glyma06g00461,Glyma 1.1
Glyma.06g002400,Glyma.06g002400,Glyma2.0
Glyma.06g002500,Glyma06g00471,Glyma 1.1
Glyma.06g002500,Glyma.06g002500,Glyma2.0
Glyma.06g002600,Glyma06g00480,Glyma 1.1
Glyma.06g002600,Glyma.06g002600,Glyma2.0
Glyma.06g002700,Glyma06g00490,Glyma 1.1
Glyma.06g002700,Glyma.06g002700,Glyma2.0
Glyma.06g002800,Glyma06g00500,Glyma 1.1
Glyma.06g002800,Glyma.06g002800,Glyma2.0
Glyma.06g002900,Glyma06g00510,Glyma 1.1
Glyma.06g002900,Glyma.06g002900,Glyma2.0
Glyma.06g003000,Glyma06g00523,Glyma 1.1
Glyma.06g003000,Glyma.06g003000,Glyma2.0
Glyma.06g003100,Glyma06g00536,Glyma 1.1
Glyma.06g003100,Glyma.06g003100,Glyma2.0
Glyma.06g003200,Glyma06g00550,Glyma 1.1
Glyma.06g003200,Glyma.06g003200,Glyma2.0
Glyma.06g003300,Glyma06g00560,Glyma 1.1
Glyma.06g003300,Glyma.06g003300,Glyma2.0
Glyma.06g003400,Glyma06g00580,Glyma 1.1
Glyma.06g003400,Glyma.06g003400,Glyma2.0
Glyma.06g003500,Glyma06g00590,Glyma 1.1
Glyma.06g003500,Glyma.06g003500,Glyma2.0
Glyma.06g003600,Glyma06g00600,Glyma 1.1
Glyma.06g003600,Glyma.06g003600,Glyma2.0
Glyma.06g003700,Glyma06g00610,Glyma 1.1
Glyma.06g003700,Glyma.06g003700,Glyma2.0
Glyma.06g003800,Glyma06g00630,Glyma 1.1
Glyma.06g003800,Glyma.06g003800,Glyma2.0
Glyma.06g003900,Glyma06g00640,Glyma 1.1
Glyma.06g003900,Glyma.06g003900,Glyma2.0
Glyma.06g004200,Glyma06g00660,Glyma 1.1
Glyma.06g004200,Glyma.06g004200,Glyma2.0
Glyma.06g004300,Glyma06g00671,Glyma 1.1
Glyma.06g004300,Glyma.06g004300,Glyma2.0
Glyma.06g004400,Glyma06g00680,Glyma 1.1
Glyma.06g004400,Glyma.06g004400,Glyma2.0
Glyma.06g004500,Glyma06g00690,Glyma 1.1
Glyma.06g004500,Glyma.06g004500,Glyma2.0
Glyma.06g004700,Glyma06g00700,Glyma 1.1
Glyma.06g004700,Glyma.06g004700,Glyma2.0
Glyma.06g004800,Glyma06g00710,Glyma 1.1
Glyma.06g004800,Glyma.06g004800,Glyma2.0
Glyma.06g004900,Glyma06g00720,Glyma 1.1
Glyma.06g004900,Glyma.06g004900,Glyma2.0
Glyma.06g005000,Glyma06g00730,Glyma 1.1
Glyma.06g005000,Glyma.06g005000,Glyma2.0
Glyma.06g005100,Glyma06g00740,Glyma 1.1
Glyma.06g005100,Glyma.06g005100,Glyma2.0
Glyma.06g005200,Glyma06g00750,Glyma 1.1
Glyma.06g005200,Glyma.06g005200,Glyma2.0
Glyma.06g005300,Glyma06g00760,Glyma 1.1
Glyma.06g005300,Glyma.06g005300,Glyma2.0
Glyma.06g005400,Glyma06g00770,Glyma 1.1
Glyma.06g005400,Glyma.06g005400,Glyma2.0
Glyma.06g005500,Glyma06g00781,Glyma 1.1
Glyma.06g005500,Glyma.06g005500,Glyma2.0
Glyma.06g005600,Glyma06g00790,Glyma 1.1
Glyma.06g005600,Glyma.06g005600,Glyma2.0
Glyma.06g005700,Glyma06g00800,Glyma 1.1
Glyma.06g005700,Glyma.06g005700,Glyma2.0
Glyma.06g005800,Glyma06g00810,Glyma 1.1
Glyma.06g005800,Glyma.06g005800,Glyma2.0
Glyma.06g005900,Glyma06g00820,Glyma 1.1
Glyma.06g005900,Glyma.06g005900,Glyma2.0
Glyma.06g006000,Glyma06g00831,Glyma 1.1
Glyma.06g006000,Glyma.06g006000,Glyma2.0
Glyma.06g006100,Glyma06g00841,Glyma 1.1
Glyma.06g006100,Glyma.06g006100,Glyma2.0
Glyma.06g006300,Glyma06g00861,Glyma 1.1
Glyma.06g006300,Glyma.06g006300,Glyma2.0
Glyma.06g006400,Glyma06g00871,Glyma 1.1
Glyma.06g006400,Glyma.06g006400,Glyma2.0
Glyma.06g006500,Glyma06g00880,Glyma 1.1
Glyma.06g006500,Glyma.06g006500,Glyma2.0
Glyma.06g006700,Glyma06g00910,Glyma 1.1
Glyma.06g006700,Glyma.06g006700,Glyma2.0
Glyma.06g006800,Glyma06g00930,Glyma 1.1
Glyma.06g006800,Glyma.06g006800,Glyma2.0
Glyma.06g007100,Glyma06g00950,Glyma 1.1
Glyma.06g007100,Glyma.06g007100,Glyma2.0
Glyma.06g007300,Glyma06g00960,Glyma 1.1
Glyma.06g007300,Glyma.06g007300,Glyma2.0
Glyma.06g007400,Glyma06g00980,Glyma 1.1
Glyma.06g007400,Glyma.06g007400,Glyma2.0
Glyma.06g007500,Glyma06g00990,Glyma 1.1
Glyma.06g007500,Glyma.06g007500,Glyma2.0
Glyma.06g007700,Glyma06g01010,Glyma 1.1
Glyma.06g007700,Glyma.06g007700,Glyma2.0
Glyma.06g007800,Glyma06g01021,Glyma 1.1
Glyma.06g007800,Glyma.06g007800,Glyma2.0
Glyma.06g007900,Glyma06g01030,Glyma 1.1
Glyma.06g007900,Glyma.06g007900,Glyma2.0
Glyma.06g008000,Glyma06g01045,Glyma 1.1
Glyma.06g008000,Glyma.06g008000,Glyma2.0
Glyma.06g008200,Glyma06g01060,Glyma 1.1
Glyma.06g008200,Glyma.06g008200,Glyma2.0
Glyma.06g008300,Glyma06g01070,Glyma 1.1
Glyma.06g008300,Glyma.06g008300,Glyma2.0
Glyma.06g008400,Glyma06g01080,Glyma 1.1
Glyma.06g008400,Glyma.06g008400,Glyma2.0
Glyma.06g008500,Glyma06g01087,Glyma 1.1
Glyma.06g008500,Glyma.06g008500,Glyma2.0
Glyma.06g008600,Glyma06g01094,Glyma 1.1
Glyma.06g008600,Glyma.06g008600,Glyma2.0
Glyma.06g008700,Glyma06g01102,Glyma 1.1
Glyma.06g008700,Glyma.06g008700,Glyma2.0
Glyma.06g008800,Glyma06g01110,Glyma 1.1
Glyma.06g008800,Glyma.06g008800,Glyma2.0
Glyma.06g008900,Glyma06g01120,Glyma 1.1
Glyma.06g008900,Glyma.06g008900,Glyma2.0
Glyma.06g009000,Glyma06g01130,Glyma 1.1
Glyma.06g009000,Glyma.06g009000,Glyma2.0
Glyma.06g009100,Glyma06g01140,Glyma 1.1
Glyma.06g009100,Glyma.06g009100,Glyma2.0
Glyma.06g009200,Glyma06g01160,Glyma 1.1
Glyma.06g009200,Glyma.06g009200,Glyma2.0
Glyma.06g009400,Glyma06g01180,Glyma 1.1
Glyma.06g009400,Glyma.06g009400,Glyma2.0
Glyma.06g009500,Glyma06g01186,Glyma 1.1
Glyma.06g009500,Glyma.06g009500,Glyma2.0
Glyma.06g009700,Glyma06g01200,Glyma 1.1
Glyma.06g009700,Glyma.06g009700,Glyma2.0
Glyma.06g009800,Glyma06g01210,Glyma 1.1
Glyma.06g009800,Glyma.06g009800,Glyma2.0
Glyma.06g009900,Glyma06g01220,Glyma 1.1
Glyma.06g009900,Glyma.06g009900,Glyma2.0
Glyma.06g010200,Glyma06g01240,Glyma 1.1
Glyma.06g010200,Glyma.06g010200,Glyma2.0
Glyma.06g010400,Glyma06g01260,Glyma 1.1
Glyma.06g010400,Glyma.06g010400,Glyma2.0
Glyma.06g010500,Glyma06g01270,Glyma 1.1
Glyma.06g010500,Glyma.06g010500,Glyma2.0
Glyma.06g010600,Glyma06g01280,Glyma 1.1
Glyma.06g010600,Glyma.06g010600,Glyma2.0
Glyma.06g010700,Glyma06g01286,Glyma 1.1
Glyma.06g010700,Glyma.06g010700,Glyma2.0
Glyma.06g010900,Glyma06g01300,Glyma 1.1
Glyma.06g010900,Glyma.06g010900,Glyma2.0
Glyma.06g011000,Glyma06g01310,Glyma 1.1
Glyma.06g011000,Glyma.06g011000,Glyma2.0
Glyma.06g011100,Glyma06g01320,Glyma 1.1
Glyma.06g011100,Glyma.06g011100,Glyma2.0
Glyma.06g011300,Glyma06g01340,Glyma 1.1
Glyma.06g011300,Glyma.06g011300,Glyma2.0
Glyma.06g011600,Glyma06g01370,Glyma 1.1
Glyma.06g011600,Glyma.06g011600,Glyma2.0
Glyma.06g011700,Glyma06g01380,Glyma 1.1
Glyma.06g011700,Glyma.06g011700,Glyma2.0
Glyma.06g011800,Glyma06g01391,Glyma 1.1
Glyma.06g011800,Glyma.06g011800,Glyma2.0
Glyma.06g011900,Glyma06g01400,Glyma 1.1
Glyma.06g011900,Glyma.06g011900,Glyma2.0
Glyma.06g012000,Glyma06g01410,Glyma 1.1
Glyma.06g012000,Glyma.06g012000,Glyma2.0
Glyma.06g012100,Glyma06g01421,Glyma 1.1
Glyma.06g012100,Glyma.06g012100,Glyma2.0
Glyma.06g012200,Glyma06g01430,Glyma 1.1
Glyma.06g012200,Glyma.06g012200,Glyma2.0
Glyma.06g012500,Glyma06g01460,Glyma 1.1
Glyma.06g012500,Glyma.06g012500,Glyma2.0
Glyma.06g012600,Glyma06g01471,Glyma 1.1
Glyma.06g012600,Glyma.06g012600,Glyma2.0
Glyma.06g012700,Glyma06g01480,Glyma 1.1
Glyma.06g012700,Glyma.06g012700,Glyma2.0
Glyma.06g012800,Glyma06g01490,Glyma 1.1
Glyma.06g012800,Glyma.06g012800,Glyma2.0
Glyma.06g012900,Glyma06g01500,Glyma 1.1
Glyma.06g012900,Glyma.06g012900,Glyma2.0
Glyma.06g013000,Glyma06g01510,Glyma 1.1
Glyma.06g013000,Glyma.06g013000,Glyma2.0
Glyma.06g013100,Glyma06g01520,Glyma 1.1
Glyma.06g013100,Glyma.06g013100,Glyma2.0
